timestamp,Name,Node,value
2024-09-05 14:02:08.932920,aggregateAbleToMoveStatus ,ns=4;i=6013,1
2024-09-05 14:02:09.568154,lastCommandedPosition ,ns=4;i=6070,0
2024-09-05 14:02:09.570106,pointAbleToMoveStatus,ns=4;i=6015,0
2024-09-05 14:02:09.994485,position,ns=4;i=6073,0
2024-09-05 14:02:10.418040,positionDegraded ,ns=4;i=6074,4
2024-09-05 14:02:11.081064,movementStatus,ns=4;i=6071,0
2024-09-05 14:02:11.521533,driveCutoffPrinciple,ns=4;i=6014,1
2024-09-05 14:02:11.935372,isUsingRedrive,ns=4;i=6069,False
2024-09-05 14:02:12.466829,pSamplingInterval ,ns=4;i=6075,10.0
2024-09-05 14:02:12.881905,pointOperationTimer,ns=4;i=6072,10.0
2024-09-05 14:02:13.513906,turnCounter ,ns=4;i=6016,
2024-09-05 14:02:13.513906,StatusTechnical,ns=4;i=6079,0
2024-09-05 14:02:14.062534,isTimeSynchronised,ns=4;i=6017,True
2024-09-05 14:02:14.506088,StatusTechnicalManufacturerSpecificMessage,ns=4;i=6018,
2024-09-05 14:02:14.934131,SubsystemIdentification,ns=4;i=6080,S1
2024-09-05 14:02:15.459498,BasicDataReadable,ns=4;i=6076,3
2024-09-05 14:02:15.903173,FieldElementSpecificationRevision,ns=4;i=6077,1.6 (1.A)
2024-09-05 14:02:16.536815,OperationStatus,ns=4;i=6078,6
2024-09-05 14:02:16.955737,TechnicalPlace,ns=4;i=6055,TP_S1
2024-09-05 14:02:17.398607,lat,ns=4;i=6056,32.343
2024-09-05 14:02:18.047411,lon,ns=4;i=6057,74.655
2024-09-05 14:02:18.047411,trackEdgeId,ns=4;i=6058,1
2024-09-05 14:02:18.477347,trackKm,ns=4;i=6059,1.23
2024-09-05 14:02:18.920040,IsMaintenanceMode,ns=4;i=6060,False
2024-09-05 14:02:19.588284,ableToMoveStatus,ns=4;i=6020,0
2024-09-05 14:02:20.559493,position,ns=4;i=6066,0
2024-09-05 14:02:20.559493,index,ns=4;i=6063,PM_01
2024-09-05 14:02:21.000010,isCrucial,ns=4;i=6064,True
2024-09-05 14:02:21.434064,machineType,ns=4;i=6065,1
2024-09-05 14:02:21.878246,timeOffsetStartLeft,ns=4;i=6021,0.0
2024-09-05 14:02:22.547357,timeOffsetStartRight,ns=4;i=6022,0.0
2024-09-05 14:02:22.878106,turnCounter,ns=4;i=6067,
2024-09-05 14:02:23.546459,aggregateAbleToMoveStatus ,ns=4;i=6489,1
2024-09-05 14:02:23.991859,lastCommandedPosition ,ns=4;i=6096,0
2024-09-05 14:02:24.530974,pointAbleToMoveStatus,ns=4;i=6492,0
2024-09-05 14:02:24.972166,position,ns=4;i=6099,0
2024-09-05 14:02:25.412613,positionDegraded ,ns=4;i=6100,4
2024-09-05 14:02:25.946867,movementStatus,ns=4;i=6097,0
2024-09-05 14:02:26.385414,driveCutoffPrinciple,ns=4;i=6490,1
2024-09-05 14:02:27.029551,isUsingRedrive,ns=4;i=6095,False
2024-09-05 14:02:27.578072,pSamplingInterval ,ns=4;i=6101,10.0
2024-09-05 14:02:28.021813,pointOperationTimer,ns=4;i=6098,10.0
2024-09-05 14:02:28.587449,turnCounter ,ns=4;i=6495,
2024-09-05 14:02:29.021229,StatusTechnical,ns=4;i=6105,0
2024-09-05 14:02:29.468504,isTimeSynchronised,ns=4;i=6491,True
2024-09-05 14:02:30.018353,StatusTechnicalManufacturerSpecificMessage,ns=4;i=6493,
2024-09-05 14:02:30.450602,SubsystemIdentification,ns=4;i=6106,S2
2024-09-05 14:02:30.879158,BasicDataReadable,ns=4;i=6102,3
2024-09-05 14:02:31.531006,FieldElementSpecificationRevision,ns=4;i=6103,1.6 (1.A)
2024-09-05 14:02:31.531006,OperationStatus,ns=4;i=6104,6
2024-09-05 14:02:31.962876,TechnicalPlace,ns=4;i=6081,TP_S2
2024-09-05 14:02:32.410389,lat,ns=4;i=6082,32.343
2024-09-05 14:02:33.070518,lon,ns=4;i=6083,74.655
2024-09-05 14:02:33.520602,trackEdgeId,ns=4;i=6084,1
2024-09-05 14:02:33.946024,trackKm,ns=4;i=6085,1.23
2024-09-05 14:02:34.497602,IsMaintenanceMode,ns=4;i=6086,False
2024-09-05 14:02:34.945805,ableToMoveStatus,ns=4;i=6496,0
2024-09-05 14:02:35.388347,position,ns=4;i=6092,0
2024-09-05 14:02:36.051147,index,ns=4;i=6089,PM_02
2024-09-05 14:02:36.487112,isCrucial,ns=4;i=6090,True
2024-09-05 14:02:36.921638,machineType,ns=4;i=6091,1
2024-09-05 14:02:37.459652,timeOffsetStartLeft,ns=4;i=6497,0.0
2024-09-05 14:02:37.915978,timeOffsetStartRight,ns=4;i=6498,0.0
2024-09-05 14:02:38.569011,turnCounter,ns=4;i=6093,
2024-09-05 14:02:38.901033,aggregateAbleToMoveStatus ,ns=4;i=6455,1
2024-09-05 14:02:39.571155,lastCommandedPosition ,ns=4;i=6167,0
2024-09-05 14:02:40.009769,pointAbleToMoveStatus,ns=4;i=6458,0
2024-09-05 14:02:40.554415,position,ns=4;i=6170,0
2024-09-05 14:02:40.997535,positionDegraded ,ns=4;i=6171,4
2024-09-05 14:02:41.430885,movementStatus,ns=4;i=6168,0
2024-09-05 14:02:41.979156,driveCutoffPrinciple,ns=4;i=6456,1
2024-09-05 14:02:42.430119,isUsingRedrive,ns=4;i=6166,False
2024-09-05 14:02:43.088556,pSamplingInterval ,ns=4;i=6172,10.0
2024-09-05 14:02:43.088556,pointOperationTimer,ns=4;i=6169,10.0
2024-09-05 14:02:44.076448,turnCounter ,ns=4;i=6461,
2024-09-05 14:02:44.076448,StatusTechnical,ns=4;i=6176,0
2024-09-05 14:02:44.509212,isTimeSynchronised,ns=4;i=6457,True
2024-09-05 14:02:44.937950,StatusTechnicalManufacturerSpecificMessage,ns=4;i=6459,
2024-09-05 14:02:45.375434,SubsystemIdentification,ns=4;i=6177,S3
2024-09-05 14:02:46.035628,BasicDataReadable,ns=4;i=6173,3
2024-09-05 14:02:46.572790,FieldElementSpecificationRevision,ns=4;i=6174,1.6 (1.A)
2024-09-05 14:02:46.995953,OperationStatus,ns=4;i=6175,6
2024-09-05 14:02:47.416515,TechnicalPlace,ns=4;i=6152,TP_S3
2024-09-05 14:02:47.956224,lat,ns=4;i=6153,32.343
2024-09-05 14:02:48.384202,lon,ns=4;i=6154,74.655
2024-09-05 14:02:49.035402,trackEdgeId,ns=4;i=6155,1
2024-09-05 14:02:49.037890,trackKm,ns=4;i=6156,1.23
2024-09-05 14:02:49.570144,IsMaintenanceMode,ns=4;i=6157,False
2024-09-05 14:02:50.466983,ableToMoveStatus,ns=4;i=6462,0
2024-09-05 14:02:51.019698,position,ns=4;i=6163,0
2024-09-05 14:02:51.484246,index,ns=4;i=6160,PM_03
2024-09-05 14:02:51.918514,isCrucial,ns=4;i=6161,True
2024-09-05 14:02:52.485184,machineType,ns=4;i=6162,1
2024-09-05 14:02:52.927927,timeOffsetStartLeft,ns=4;i=6463,0.0
2024-09-05 14:02:53.576698,timeOffsetStartRight,ns=4;i=6464,0.0
2024-09-05 14:02:53.576698,turnCounter,ns=4;i=6164,
2024-09-05 14:02:54.564940,aggregateAbleToMoveStatus ,ns=4;i=6505,1
2024-09-05 14:02:55.005448,lastCommandedPosition ,ns=4;i=6122,0
2024-09-05 14:02:55.443183,pointAbleToMoveStatus,ns=4;i=6508,0
2024-09-05 14:02:55.869354,position,ns=4;i=6125,0
2024-09-05 14:02:56.514765,positionDegraded ,ns=4;i=6126,4
2024-09-05 14:02:56.516473,movementStatus,ns=4;i=6123,0
2024-09-05 14:02:56.954984,driveCutoffPrinciple,ns=4;i=6506,1
2024-09-05 14:02:57.395241,isUsingRedrive,ns=4;i=6121,False
2024-09-05 14:02:58.039019,pSamplingInterval ,ns=4;i=6127,10.0
2024-09-05 14:02:58.466343,pointOperationTimer,ns=4;i=6124,10.0
2024-09-05 14:02:58.914248,turnCounter ,ns=4;i=6511,
2024-09-05 14:02:59.581537,StatusTechnical,ns=4;i=6131,0
2024-09-05 14:02:59.582542,isTimeSynchronised,ns=4;i=6507,True
2024-09-05 14:03:00.581932,StatusTechnicalManufacturerSpecificMessage,ns=4;i=6509,
2024-09-05 14:03:00.582863,SubsystemIdentification,ns=4;i=6132,S4
2024-09-05 14:03:01.023642,BasicDataReadable,ns=4;i=6128,3
2024-09-05 14:03:01.566894,FieldElementSpecificationRevision,ns=4;i=6129,1.6 (1.A)
2024-09-05 14:03:02.009615,OperationStatus,ns=4;i=6130,6
2024-09-05 14:03:02.562857,TechnicalPlace,ns=4;i=6107,TP_S4
2024-09-05 14:03:03.014782,lat,ns=4;i=6108,32.343
2024-09-05 14:03:03.446825,lon,ns=4;i=6109,74.655
2024-09-05 14:03:04.010275,trackEdgeId,ns=4;i=6110,1
2024-09-05 14:03:04.458122,trackKm,ns=4;i=6111,1.23
2024-09-05 14:03:04.900370,IsMaintenanceMode,ns=4;i=6112,False
2024-09-05 14:03:05.569446,ableToMoveStatus,ns=4;i=6512,0
2024-09-05 14:03:06.011442,position,ns=4;i=6118,0
2024-09-05 14:03:06.432154,index,ns=4;i=6115,PM_04
2024-09-05 14:03:06.963186,isCrucial,ns=4;i=6116,True
2024-09-05 14:03:07.398431,machineType,ns=4;i=6117,1
2024-09-05 14:03:08.050890,timeOffsetStartLeft,ns=4;i=6513,0.0
2024-09-05 14:03:08.472292,timeOffsetStartRight,ns=4;i=6514,0.0
2024-09-05 14:03:08.918021,turnCounter,ns=4;i=6119,
2024-09-05 14:03:09.563574,aggregateAbleToMoveStatus ,ns=4;i=6515,1
2024-09-05 14:03:10.006717,lastCommandedPosition ,ns=4;i=6148,0
2024-09-05 14:03:10.437803,pointAbleToMoveStatus,ns=4;i=6518,0
2024-09-05 14:03:11.093078,position,ns=4;i=6151,0
2024-09-05 14:03:11.093078,positionDegraded ,ns=4;i=6178,4
2024-09-05 14:03:11.549817,movementStatus,ns=4;i=6149,0
2024-09-05 14:03:11.981964,driveCutoffPrinciple,ns=4;i=6516,1
2024-09-05 14:03:12.412400,isUsingRedrive,ns=4;i=6147,False
2024-09-05 14:03:13.074814,pSamplingInterval ,ns=4;i=6179,10.0
2024-09-05 14:03:13.517596,pointOperationTimer,ns=4;i=6150,10.0
2024-09-05 14:03:13.971358,turnCounter ,ns=4;i=6521,
2024-09-05 14:03:14.519937,StatusTechnical,ns=4;i=6183,0
2024-09-05 14:03:14.965849,isTimeSynchronised,ns=4;i=6517,True
2024-09-05 14:03:15.411437,StatusTechnicalManufacturerSpecificMessage,ns=4;i=6519,
2024-09-05 14:03:15.966636,SubsystemIdentification,ns=4;i=6184,S5
